variant_id,sample_id,condition_id,split,source_smiles,target_smiles
edit:multiproperty_edit:mpair_00000027_cond_02_3p,edit:multiproperty_edit:mpair_00000027_cond_02_3p,mpair_00000027_cond_02_3p,train,O=C(O)c1cn(C2CC2)c2cc(N3CCN(O)CC3)c(F)cc2c1=O,CCOc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
edit:multiproperty_edit:mpair_00000028_cond_00_5p,edit:multiproperty_edit:mpair_00000028_cond_00_5p,mpair_00000028_cond_00_5p,train,CC1CN(c2c(F)c(F)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCN1,Cc1c(N2CCNCC2)c(N)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
edit:multiproperty_edit:mpair_00000028_cond_01_6p,edit:multiproperty_edit:mpair_00000028_cond_01_6p,mpair_00000028_cond_01_6p,train,CC1CN(c2c(F)c(F)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCN1,Cc1c(N2CCNCC2)c(N)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
edit:multiproperty_edit:mpair_00000028_cond_02_2p,edit:multiproperty_edit:mpair_00000028_cond_02_2p,mpair_00000028_cond_02_2p,train,CC1CN(c2c(F)c(F)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCN1,Cc1c(N2CCNCC2)c(N)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
edit:multiproperty_edit:mpair_00000029_cond_00_3p,edit:multiproperty_edit:mpair_00000029_cond_00_3p,mpair_00000029_cond_00_3p,train,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2F)CC1,CN1CCN(c2c(F)c(S)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1
edit:multiproperty_edit:mpair_00000029_cond_01_2p,edit:multiproperty_edit:mpair_00000029_cond_01_2p,mpair_00000029_cond_01_2p,train,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2F)CC1,CN1CCN(c2c(F)c(S)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1
edit:multiproperty_edit:mpair_00000029_cond_02_2p,edit:multiproperty_edit:mpair_00000029_cond_02_2p,mpair_00000029_cond_02_2p,train,CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2F)CC1,CN1CCN(c2c(F)c(S)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1
edit:multiproperty_edit:mpair_00000030_cond_00_3p,edit:multiproperty_edit:mpair_00000030_cond_00_3p,mpair_00000030_cond_00_3p,train,CC(C)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,O=C(O)c1cn(C2CC2)c2c(F)c(N3CCN(O)CC3)c(F)cc2c1=O
edit:multiproperty_edit:mpair_00000030_cond_01_3p,edit:multiproperty_edit:mpair_00000030_cond_01_3p,mpair_00000030_cond_01_3p,train,CC(C)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,O=C(O)c1cn(C2CC2)c2c(F)c(N3CCN(O)CC3)c(F)cc2c1=O
edit:multiproperty_edit:mpair_00000030_cond_02_3p,edit:multiproperty_edit:mpair_00000030_cond_02_3p,mpair_00000030_cond_02_3p,train,CC(C)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,O=C(O)c1cn(C2CC2)c2c(F)c(N3CCN(O)CC3)c(F)cc2c1=O
edit:multiproperty_edit:mpair_00000034_cond_00_4p,edit:multiproperty_edit:mpair_00000034_cond_00_4p,mpair_00000034_cond_00_4p,train,Cc1c(N2CCNC(C)C2)c(N)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,COc1c(N2CC(C)NC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
edit:multiproperty_edit:mpair_00000034_cond_01_5p,edit:multiproperty_edit:mpair_00000034_cond_01_5p,mpair_00000034_cond_01_5p,train,Cc1c(N2CCNC(C)C2)c(N)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,COc1c(N2CC(C)NC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
edit:multiproperty_edit:mpair_00000034_cond_02_2p,edit:multiproperty_edit:mpair_00000034_cond_02_2p,mpair_00000034_cond_02_2p,train,Cc1c(N2CCNC(C)C2)c(N)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,COc1c(N2CC(C)NC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
edit:multiproperty_edit:mpair_00000036_cond_00_2p,edit:multiproperty_edit:mpair_00000036_cond_00_2p,mpair_00000036_cond_00_2p,train,O=C(O)c1cn(C2CC2)c2c(C(F)(F)F)c(N3CCNCC3)c(F)cc2c1=O,CC1CNCCN1c1c(F)c(N)c2c(=O)c(C(=O)O)cn(C3CC3)c2c1F
edit:multiproperty_edit:mpair_00000036_cond_01_2p,edit:multiproperty_edit:mpair_00000036_cond_01_2p,mpair_00000036_cond_01_2p,train,O=C(O)c1cn(C2CC2)c2c(C(F)(F)F)c(N3CCNCC3)c(F)cc2c1=O,CC1CNCCN1c1c(F)c(N)c2c(=O)c(C(=O)O)cn(C3CC3)c2c1F
edit:multiproperty_edit:mpair_00000036_cond_02_4p,edit:multiproperty_edit:mpair_00000036_cond_02_4p,mpair_00000036_cond_02_4p,train,O=C(O)c1cn(C2CC2)c2c(C(F)(F)F)c(N3CCNCC3)c(F)cc2c1=O,CC1CNCCN1c1c(F)c(N)c2c(=O)c(C(=O)O)cn(C3CC3)c2c1F
edit:multiproperty_edit:mpair_00000037_cond_00_2p,edit:multiproperty_edit:mpair_00000037_cond_00_2p,mpair_00000037_cond_00_2p,train,CN1CCN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)CCN1
edit:multiproperty_edit:mpair_00000037_cond_01_2p,edit:multiproperty_edit:mpair_00000037_cond_01_2p,mpair_00000037_cond_01_2p,train,CN1CCN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)CCN1
edit:multiproperty_edit:mpair_00000037_cond_02_2p,edit:multiproperty_edit:mpair_00000037_cond_02_2p,mpair_00000037_cond_02_2p,train,CN1CCN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)CCN1
edit:multiproperty_edit:mpair_00000038_cond_00_5p,edit:multiproperty_edit:mpair_00000038_cond_00_5p,mpair_00000038_cond_00_5p,train,CN1CCN(c2c(F)c(S)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1,Nc1c(F)c(N2CCNCC2)cc2c1c(=O)c(C(=O)O)cn2C1CC1
edit:multiproperty_edit:mpair_00000038_cond_01_5p,edit:multiproperty_edit:mpair_00000038_cond_01_5p,mpair_00000038_cond_01_5p,train,CN1CCN(c2c(F)c(S)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1,Nc1c(F)c(N2CCNCC2)cc2c1c(=O)c(C(=O)O)cn2C1CC1
edit:multiproperty_edit:mpair_00000038_cond_02_4p,edit:multiproperty_edit:mpair_00000038_cond_02_4p,mpair_00000038_cond_02_4p,train,CN1CCN(c2c(F)c(S)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1,Nc1c(F)c(N2CCNCC2)cc2c1c(=O)c(C(=O)O)cn2C1CC1
edit:multiproperty_edit:mpair_00000039_cond_00_2p,edit:multiproperty_edit:mpair_00000039_cond_00_2p,mpair_00000039_cond_00_2p,train,C=CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,O=C(O)c1cn(C2CC2)c2c(F)c(N3CCN(O)CC3)c(F)cc2c1=O
edit:multiproperty_edit:mpair_00000039_cond_01_2p,edit:multiproperty_edit:mpair_00000039_cond_01_2p,mpair_00000039_cond_01_2p,train,C=CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,O=C(O)c1cn(C2CC2)c2c(F)c(N3CCN(O)CC3)c(F)cc2c1=O
edit:multiproperty_edit:mpair_00000039_cond_02_3p,edit:multiproperty_edit:mpair_00000039_cond_02_3p,mpair_00000039_cond_02_3p,train,C=CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,O=C(O)c1cn(C2CC2)c2c(F)c(N3CCN(O)CC3)c(F)cc2c1=O
edit:multiproperty_edit:mpair_00000040_cond_00_5p,edit:multiproperty_edit:mpair_00000040_cond_00_5p,mpair_00000040_cond_00_5p,train,CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,N#CCN1CCN(c2cc3c(cc2N)c(=O)c(C(=O)O)cn3C2CC2)CC1
edit:multiproperty_edit:mpair_00000040_cond_01_2p,edit:multiproperty_edit:mpair_00000040_cond_01_2p,mpair_00000040_cond_01_2p,train,CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,N#CCN1CCN(c2cc3c(cc2N)c(=O)c(C(=O)O)cn3C2CC2)CC1
edit:multiproperty_edit:mpair_00000040_cond_02_3p,edit:multiproperty_edit:mpair_00000040_cond_02_3p,mpair_00000040_cond_02_3p,train,CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,N#CCN1CCN(c2cc3c(cc2N)c(=O)c(C(=O)O)cn3C2CC2)CC1
edit:multiproperty_edit:mpair_00000041_cond_00_4p,edit:multiproperty_edit:mpair_00000041_cond_00_4p,mpair_00000041_cond_00_4p,train,CN1CCN(c2c(F)c(O)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1,CC(C)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1
edit:multiproperty_edit:mpair_00000041_cond_01_3p,edit:multiproperty_edit:mpair_00000041_cond_01_3p,mpair_00000041_cond_01_3p,train,CN1CCN(c2c(F)c(O)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1,CC(C)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1
edit:multiproperty_edit:mpair_00000041_cond_02_4p,edit:multiproperty_edit:mpair_00000041_cond_02_4p,mpair_00000041_cond_02_4p,train,CN1CCN(c2c(F)c(O)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1,CC(C)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1
edit:multiproperty_edit:mpair_00000042_cond_00_2p,edit:multiproperty_edit:mpair_00000042_cond_00_2p,mpair_00000042_cond_00_2p,train,COc1c(N2CCNCC2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,CC1CN(c2c(F)c(Cl)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCN1
edit:multiproperty_edit:mpair_00000042_cond_01_3p,edit:multiproperty_edit:mpair_00000042_cond_01_3p,mpair_00000042_cond_01_3p,train,COc1c(N2CCNCC2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,CC1CN(c2c(F)c(Cl)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCN1
edit:multiproperty_edit:mpair_00000042_cond_02_4p,edit:multiproperty_edit:mpair_00000042_cond_02_4p,mpair_00000042_cond_02_4p,train,COc1c(N2CCNCC2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,CC1CN(c2c(F)c(Cl)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCN1
edit:multiproperty_edit:mpair_00000043_cond_00_5p,edit:multiproperty_edit:mpair_00000043_cond_00_5p,mpair_00000043_cond_00_5p,train,NC(=O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,COC(=O)CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1
edit:multiproperty_edit:mpair_00000043_cond_01_3p,edit:multiproperty_edit:mpair_00000043_cond_01_3p,mpair_00000043_cond_01_3p,train,NC(=O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,COC(=O)CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1
edit:multiproperty_edit:mpair_00000043_cond_02_5p,edit:multiproperty_edit:mpair_00000043_cond_02_5p,mpair_00000043_cond_02_5p,train,NC(=O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,COC(=O)CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1
edit:multiproperty_edit:mpair_00000044_cond_00_4p,edit:multiproperty_edit:mpair_00000044_cond_00_4p,mpair_00000044_cond_00_4p,train,COc1c(N2CC(C)NC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,C=CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1
edit:multiproperty_edit:mpair_00000044_cond_01_4p,edit:multiproperty_edit:mpair_00000044_cond_01_4p,mpair_00000044_cond_01_4p,train,COc1c(N2CC(C)NC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,C=CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1
edit:multiproperty_edit:mpair_00000044_cond_02_2p,edit:multiproperty_edit:mpair_00000044_cond_02_2p,mpair_00000044_cond_02_2p,train,COc1c(N2CC(C)NC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,C=CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1
edit:multiproperty_edit:mpair_00000045_cond_00_5p,edit:multiproperty_edit:mpair_00000045_cond_00_5p,mpair_00000045_cond_00_5p,train,CCc1c(F)c(N2CCNCC2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1
edit:multiproperty_edit:mpair_00000045_cond_01_5p,edit:multiproperty_edit:mpair_00000045_cond_01_5p,mpair_00000045_cond_01_5p,train,CCc1c(F)c(N2CCNCC2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1
edit:multiproperty_edit:mpair_00000045_cond_02_2p,edit:multiproperty_edit:mpair_00000045_cond_02_2p,mpair_00000045_cond_02_2p,train,CCc1c(F)c(N2CCNCC2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1
edit:multiproperty_edit:mpair_00000048_cond_00_7p,edit:multiproperty_edit:mpair_00000048_cond_00_7p,mpair_00000048_cond_00_7p,train,CCc1c(F)c(N2CCNCC2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,O=C(O)c1cn(C2CC2)c2cc(N3CCN(C(CO)(CO)CO)CC3)c(F)cc2c1=O
edit:multiproperty_edit:mpair_00000048_cond_01_5p,edit:multiproperty_edit:mpair_00000048_cond_01_5p,mpair_00000048_cond_01_5p,train,CCc1c(F)c(N2CCNCC2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,O=C(O)c1cn(C2CC2)c2cc(N3CCN(C(CO)(CO)CO)CC3)c(F)cc2c1=O
edit:multiproperty_edit:mpair_00000048_cond_02_2p,edit:multiproperty_edit:mpair_00000048_cond_02_2p,mpair_00000048_cond_02_2p,train,CCc1c(F)c(N2CCNCC2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,O=C(O)c1cn(C2CC2)c2cc(N3CCN(C(CO)(CO)CO)CC3)c(F)cc2c1=O
edit:multiproperty_edit:mpair_00000049_cond_00_2p,edit:multiproperty_edit:mpair_00000049_cond_00_2p,mpair_00000049_cond_00_2p,train,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1,C=CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1
edit:multiproperty_edit:mpair_00000049_cond_01_2p,edit:multiproperty_edit:mpair_00000049_cond_01_2p,mpair_00000049_cond_01_2p,train,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1,C=CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1
edit:multiproperty_edit:mpair_00000049_cond_02_2p,edit:multiproperty_edit:mpair_00000049_cond_02_2p,mpair_00000049_cond_02_2p,train,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1,C=CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1
edit:multiproperty_edit:mpair_00000051_cond_00_2p,edit:multiproperty_edit:mpair_00000051_cond_00_2p,mpair_00000051_cond_00_2p,train,CN(C)CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCN1,Cc1c(F)c(N2CCNCC2)c(Cl)c2c1c(=O)c(C(=O)O)cn2C1CC1
edit:multiproperty_edit:mpair_00000051_cond_01_5p,edit:multiproperty_edit:mpair_00000051_cond_01_5p,mpair_00000051_cond_01_5p,train,CN(C)CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCN1,Cc1c(F)c(N2CCNCC2)c(Cl)c2c1c(=O)c(C(=O)O)cn2C1CC1
edit:multiproperty_edit:mpair_00000051_cond_02_3p,edit:multiproperty_edit:mpair_00000051_cond_02_3p,mpair_00000051_cond_02_3p,train,CN(C)CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CCN1,Cc1c(F)c(N2CCNCC2)c(Cl)c2c1c(=O)c(C(=O)O)cn2C1CC1
edit:multiproperty_edit:mpair_00000052_cond_00_2p,edit:multiproperty_edit:mpair_00000052_cond_00_2p,mpair_00000052_cond_00_2p,train,CN1CCN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1,Nc1c(F)c(N2CCNCC2)c(Cl)c2c1c(=O)c(C(=O)O)cn2C1CC1
edit:multiproperty_edit:mpair_00000052_cond_01_2p,edit:multiproperty_edit:mpair_00000052_cond_01_2p,mpair_00000052_cond_01_2p,train,CN1CCN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1,Nc1c(F)c(N2CCNCC2)c(Cl)c2c1c(=O)c(C(=O)O)cn2C1CC1
edit:multiproperty_edit:mpair_00000052_cond_02_2p,edit:multiproperty_edit:mpair_00000052_cond_02_2p,mpair_00000052_cond_02_2p,train,CN1CCN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC1,Nc1c(F)c(N2CCNCC2)c(Cl)c2c1c(=O)c(C(=O)O)cn2C1CC1
edit:multiproperty_edit:mpair_00000055_cond_00_5p,edit:multiproperty_edit:mpair_00000055_cond_00_5p,mpair_00000055_cond_00_5p,train,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC(C)N1,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)CCN1
edit:multiproperty_edit:mpair_00000055_cond_01_2p,edit:multiproperty_edit:mpair_00000055_cond_01_2p,mpair_00000055_cond_01_2p,train,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC(C)N1,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)CCN1
edit:multiproperty_edit:mpair_00000055_cond_02_2p,edit:multiproperty_edit:mpair_00000055_cond_02_2p,mpair_00000055_cond_02_2p,train,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC(C)N1,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)CCN1
edit:multiproperty_edit:mpair_00000056_cond_00_5p,edit:multiproperty_edit:mpair_00000056_cond_00_5p,mpair_00000056_cond_00_5p,train,O=C(O)c1cn(C2CC2)c2cc(N3CCN(C(CO)(CO)CO)CC3)c(F)cc2c1=O,CC(C)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1
edit:multiproperty_edit:mpair_00000056_cond_01_6p,edit:multiproperty_edit:mpair_00000056_cond_01_6p,mpair_00000056_cond_01_6p,train,O=C(O)c1cn(C2CC2)c2cc(N3CCN(C(CO)(CO)CO)CC3)c(F)cc2c1=O,CC(C)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1
edit:multiproperty_edit:mpair_00000056_cond_02_4p,edit:multiproperty_edit:mpair_00000056_cond_02_4p,mpair_00000056_cond_02_4p,train,O=C(O)c1cn(C2CC2)c2cc(N3CCN(C(CO)(CO)CO)CC3)c(F)cc2c1=O,CC(C)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1
edit:multiproperty_edit:mpair_00000058_cond_00_3p,edit:multiproperty_edit:mpair_00000058_cond_00_3p,mpair_00000058_cond_00_3p,train,COC(=O)CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,COc1c(F)c(N2CCN(C)CC2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1
edit:multiproperty_edit:mpair_00000058_cond_01_5p,edit:multiproperty_edit:mpair_00000058_cond_01_5p,mpair_00000058_cond_01_5p,train,COC(=O)CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,COc1c(F)c(N2CCN(C)CC2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1
edit:multiproperty_edit:mpair_00000058_cond_02_4p,edit:multiproperty_edit:mpair_00000058_cond_02_4p,mpair_00000058_cond_02_4p,train,COC(=O)CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,COc1c(F)c(N2CCN(C)CC2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CC1
edit:multiproperty_edit:mpair_00000063_cond_00_2p,edit:multiproperty_edit:mpair_00000063_cond_00_2p,mpair_00000063_cond_00_2p,train,CN1CCN(c2cc3c(c(Cl)c2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC(F)F)CC1
